Time,Gas,Electricity
01/02/2023,5144.30,10581.8
28/02/2023,5225,10757.7
28/03/2023,5332.8,11003.7
01/04/2023,5340.4,11028.5
28/04/2023,5378.7,11239.4
28/05/2023,5396.7,11401.4
28/06/2023,5413.1,11589.9
01/07/2023,5414.8,11602.5
28/07/2023,5426.9,11723
28/08/2023,5441.7,11885.4
28/09/2023,5455.3,12030.2


